"x","y","z","xy","xz","yz","x^2","y^2","z^2"
1,1,1,1,1,1,1,1,1
1,1.26,0.983333333333333,1.26,0.983333333333333,1.239,1,1.5876,0.966944444444444
1.026,1.51756666666667,0.969711111111111,1.5570234,0.9949236,1.47160125851852,1.052676,2.30300858777778,0.940339639012346
1.07515666666667,1.779721764,0.959422382148148,1.91347971937636,1.0315293703158,1.70750489437778,1.15596185787778,3.16740955725527,0.920491307366827
1.1456131764,2.05265311932351,0.952972582484628,2.35154646007557,1.09173794724233,1.95612214406685,1.3124295499413,4.21338482826853,0.908156742967421
1.23631717069235,2.34198089804985,0.951075444885793,2.89543119769252,1.17583090313617,2.22740052452679,1.52848014654874,5.48487452683038,0.90454450186471
1.3468835434281,2.65297158783185,0.954667744999097,3.57324377283304,1.2858262751809,2.53270640330211,1.81409527955744,7.03825824584304,0.911390503341662
1.47749234786848,2.99071100136159,0.964942376194119,4.41875261919782,1.42569497696083,2.88586378016374,2.1829836380099,8.94435229366524,0.931113789375152
1.62881421321779,3.36024479898154,0.983398105687587,5.47321448847228,1.60177281179539,3.30445836996501,2.65303574118028,11.2912451090825,0.967071834269934
1.80195727179416,3.76669260257475,1.01190630108731,6.78741912582285,1.82341191761861,3.81153997880434,3.24705000937186,14.1879731622913,1.0239543621802
1.99843080487222,4.21533959347518,1.05279632431654,8.42406449659835,2.10394060577042,4.43789402975665,3.99372568186223,17.7690878883195,1.10838010049442
2.22012168373252,4.71170741684695,1.10896240063408,10.4605638035452,2.4620314720918,5.22510636807201,4.92894029057931,22.2001867819705,1.22979760602011
2.46928025704396,5.26160409940266,1.18399570798596,12.9923751230366,2.92361722615452,6.22971667081409,6.09734498782709,27.6844776988509,1.40184583652917
2.74851264127983,5.8711503581194,1.2823462403367,16.1369309781458,3.52454485206308,7.52884758818588,7.55432173927503,34.4704065276456,1.64441188010567
3.06077641296379,6.54677694557593,1.40951965037585,20.0382204559539,4.31422449947935,9.22781075141683,9.36835225015547,42.8602883751245,1.98674564479565
3.409376466225,7.29518432675524,1.5723146642587,24.8720297604128,5.36061261382406,11.4703252954275,11.6238478884489,53.2197143613353,2.47217340344294
3.79795725227803,8.12325176789244,1.77910657081593,30.8517629639474,6.75697070320583,14.4521305966495,14.4244792901312,65.9872192845677,3.1652201903204
4.23048670383947,9.03787757381931,2.04018135856697,38.2346209069715,8.63096011083873,18.4389093471167,17.8970177513625,81.683231039346,4.16233997584419
4.71122579083745,10.0457254740478,2.36812273140824,47.3276809410067,11.1567608880789,23.7895108485793,22.195648452252,100.916600299932,5.60800527101241
5.24467575915848,11.152843831861,2.77824960131408,58.4930496906416,14.5710183369037,30.9853839293861,27.5066238187046,124.38592553788,7.71867084720187
5.83549256642874,12.3641144227377,3.28909344218546,72.1506978043603,19.1934803321627,40.6667276662573,34.052973492845,152.871325458551,10.8181356714274
6.48835475205964,13.6824763937888,3.92289126177078,88.7767607295831,25.4531101601237,53.674867084579,42.0987473885748,187.210160266587,15.3890758516776
7.20776691623255,15.1078598588263,4.70604843541939,108.893932465526,33.9201002190038,71.0983202511652,51.9519039187365,228.247429513936,22.1468918765133
7.99777621049193,16.6357549945932,5.66949313513014,133.049045539329,45.3433373216911,94.3162987395528,63.9644243131106,276.748344240131,32.1431524092878
8.86157408890205,18.2553414103681,6.84879710691996,161.771060426178,60.6911229828293,125.027129437165,78.5274953331002,333.257490009099,46.9060218117552
9.80095082104865,19.9471175113287,8.28387312166388,195.50071775021,81.1898330732344,165.239390606766,96.0586369966142,397.887497010754,68.6225538958252
10.8155674900767,21.6800142353766,10.0179770159216,234.481657148539,108.350106529737,217.189884314857,116.976500132403,470.023017246134,100.359863491534
11.9020121646067,23.408071924947,12.0956475336491,278.603156800706,143.962544084286,283.135787446465,141.657893566445,547.937831243491,146.304689258271
13.0526181406407,25.0669291709445,14.5591285007588,327.189054426825,190.034744780924,364.952642919201,170.370840325382,628.350938061149,211.968222701608
14.2540492436711,26.5706455108052,17.4427756183402,378.739289547145,248.630182610126,463.465807679434,203.177919841,705.999202860873,304.250421271763
15.4857088703845,27.8097710178238,20.7650278306559,430.654017734075,321.561175670969,577.470669149279,239.807179218305,773.383364063793,431.186380807914
16.7181150851284,28.6520600346435,24.5178339325125,479.008437085179,409.891969321811,702.486449753769,279.495371999598,820.940544228817,601.124180742262
17.9115095800799,28.9476919649149,28.6541093984973,518.496861950777,513.238354999842,829.470332396674,320.822175437295,837.968870095601,821.057985421051
19.0151278185634,28.5410541776897,33.0749684340451,542.711793265314,628.924752368319,943.99446600146,361.575085956305,814.591773573821,1093.95353691308
19.9677204544761,27.2906319014274,37.6200872084571,544.931708833709,751.187384851481,1026.6759521056,398.709860148102,744.778589579208,1415.27096157192
20.7000115991712,25.0968134611516,42.0662019712353,519.504329748074,870.770868737649,1055.72762389122,428.490480205822,629.850045903842,1769.56534828476
21.1396917853692,21.9341398869316,46.1394798828164,463.680956786907,975.374383859984,1012.02980605996,446.886568780408,481.106492579482,2128.85160385682
21.2191365955255,17.8801683493658,49.5459033204771,379.401734556184,1051.3212903059,885.889092391532,450.251757859568,319.700420201662,2454.79653584206
20.8852397709095,13.1295120095602,52.0186965774929,274.213006394702,1086.42295059113,682.980101435863,436.19324028838,172.384085609187,2705.94479362127
20.1096669947746,7.98185451940803,53.3736613993734,160.512436386032,1073.32655703325,426.020800457942,404.398706640726,63.7100015689943,2848.74773117496
18.8968857472379,2.7994771624183,53.5554881259171,52.9014000902204,1012.03194025301,149.927365930669,357.092290944164,7.83707238290159,2868.19030840525
17.287144888756,-2.05770900250939,52.6563557767948,-35.5719136652774,910.278051627334,-108.351457321248,298.845378404841,4.2341663390082,2772.6918036924
15.3526594996294,-6.29951185990597,50.8964671527609,-96.7142605990136,781.396129930411,-320.622898456132,235.704153711562,39.683849673096,2590.45036863207
13.1874423636759,-9.75173338071479,48.5720854226971,-128.60042190411,640.54157699536,-473.662026787445,173.908636095273,95.096303928547,2359.24748230979
10.8935247892368,-12.367147955032,45.9908255923841,-134.7218328203,501.002198668103,-568.775344675086,118.668882333717,152.946348541652,2115.15603866909
8.56745751480993,-14.2033115211764,43.4171852483842,-121.686268027289,371.974890028164,-616.667807455425,73.4013282680732,201.734058167582,1885.05197489251
