"x","y","z"
1,1,1
1,1.26,0.983333333333333
1.026,1.51756666666667,0.969711111111111
1.07515666666667,1.779721764,0.959422382148148
1.1456131764,2.05265311932351,0.952972582484628
1.23631717069235,2.34198089804985,0.951075444885793
1.3468835434281,2.65297158783185,0.954667744999097
1.47749234786848,2.99071100136159,0.964942376194119
1.62881421321779,3.36024479898154,0.983398105687587
1.80195727179416,3.76669260257475,1.01190630108731
1.99843080487222,4.21533959347518,1.05279632431654
2.22012168373252,4.71170741684695,1.10896240063408
2.46928025704396,5.26160409940266,1.18399570798596
2.74851264127983,5.8711503581194,1.2823462403367
3.06077641296379,6.54677694557593,1.40951965037585
3.409376466225,7.29518432675524,1.5723146642587
3.79795725227803,8.12325176789244,1.77910657081593
4.23048670383947,9.03787757381931,2.04018135856697
4.71122579083745,10.0457254740478,2.36812273140824
5.24467575915848,11.152843831861,2.77824960131408
5.83549256642874,12.3641144227377,3.28909344218546
6.48835475205964,13.6824763937888,3.92289126177078
7.20776691623255,15.1078598588263,4.70604843541939
7.99777621049193,16.6357549945932,5.66949313513014
8.86157408890205,18.2553414103681,6.84879710691996
9.80095082104865,19.9471175113287,8.28387312166388
10.8155674900767,21.6800142353766,10.0179770159216
11.9020121646067,23.408071924947,12.0956475336491
13.0526181406407,25.0669291709445,14.5591285007588
14.2540492436711,26.5706455108052,17.4427756183402
15.4857088703845,27.8097710178238,20.7650278306559
16.7181150851284,28.6520600346435,24.5178339325125
17.9115095800799,28.9476919649149,28.6541093984973
19.0151278185634,28.5410541776897,33.0749684340451
19.9677204544761,27.2906319014274,37.6200872084571
20.7000115991712,25.0968134611516,42.0662019712353
21.1396917853692,21.9341398869316,46.1394798828164
21.2191365955255,17.8801683493658,49.5459033204771
20.8852397709095,13.1295120095602,52.0186965774929
20.1096669947746,7.98185451940803,53.3736613993734
18.8968857472379,2.7994771624183,53.5554881259171
17.287144888756,-2.05770900250939,52.6563557767948
15.3526594996294,-6.29951185990597,50.8964671527609
13.1874423636759,-9.75173338071479,48.5720854226971
10.8935247892368,-12.367147955032,45.9908255923841
8.56745751480993,-14.2033115211764,43.4171852483842
6.2903806112113,-15.3821392020995,41.0425309614877
4.12312862988022,-16.0487426488911,38.980468367223
2.10594150200309,-16.3409940573461,37.2792789078715
0.261247946068164,-16.3730003023802,35.941033027968
-1.40217687877667,-16.2300160850385,34.9398313535558
-2.88496079940285,-15.9704072135225,34.2356760504272
-4.19350544081482,-15.6308063317547,33.7834646766976
